          %pt            int_Sj
       41.792    9.47149E-13
       41.840    9.35286E-13
       41.888    9.23585E-13
       41.936    9.12042E-13
       41.984    9.00657E-13
       42.032    8.89427E-13
       42.080    8.78348E-13
       42.128    8.67420E-13
       42.176    8.56641E-13
       42.224    8.46007E-13
       42.272    8.35516E-13
       42.320    8.25167E-13
       42.368    8.14957E-13
       42.416    8.04884E-13
       42.464    7.94948E-13
       42.512    7.85144E-13
       42.560    7.75472E-13
       42.608    7.65930E-13
       42.656    7.56516E-13
       42.704    7.47228E-13
       42.752    7.38063E-13
       42.800    7.29021E-13
       42.848    7.20099E-13
       42.896    7.11297E-13
       42.944    7.02611E-13
       42.992    6.94040E-13
       43.040    6.85584E-13
       43.088    6.77239E-13
       43.136    6.69005E-13
       43.184    6.60880E-13
       43.232    6.52862E-13
       43.280    6.44951E-13
       43.328    6.37144E-13
       43.376    6.29439E-13
       43.424    6.21835E-13
       43.472    6.14332E-13
       43.520    6.06927E-13
       43.568    5.99619E-13
       43.616    5.92407E-13
       43.664    5.85289E-13
       43.712    5.78265E-13
       43.760    5.71332E-13
       43.808    5.64490E-13
       43.856    5.57736E-13
       43.904    5.51071E-13
       43.952    5.44492E-13
       44.000    5.37999E-13
       44.048    5.31590E-13
       44.096    5.25264E-13
       44.144    5.19020E-13
       44.192    5.12857E-13
       44.240    5.06773E-13
       44.288    5.00768E-13
       44.336    4.94840E-13
       44.384    4.88989E-13
       44.432    4.83213E-13
       44.480    4.77511E-13
       44.528    4.71882E-13
       44.576    4.66326E-13
       44.624    4.60840E-13
       44.672    4.55425E-13
       44.720    4.50079E-13
       44.768    4.44802E-13
       44.816    4.39592E-13
       44.864    4.34448E-13
       44.912    4.29370E-13
       44.960    4.24356E-13
       45.008    4.19406E-13
       45.056    4.14518E-13
       45.104    4.09693E-13
       45.152    4.04929E-13
       45.200    4.00225E-13
       45.248    3.95581E-13
       45.296    3.90995E-13
       45.344    3.86467E-13
       45.392    3.81996E-13
       45.440    3.77582E-13
       45.488    3.73222E-13
       45.536    3.68918E-13
       45.584    3.64668E-13
       45.632    3.60470E-13
       45.680    3.56326E-13
       45.728    3.52233E-13
       45.776    3.48192E-13
       45.824    3.44201E-13
       45.872    3.40259E-13
       45.920    3.36367E-13
       45.968    3.32524E-13
       46.016    3.28728E-13
       46.064    3.24979E-13
       46.112    3.21276E-13
       46.160    3.17620E-13
       46.208    3.14009E-13
       46.256    3.10442E-13
       46.304    3.06920E-13
       46.352    3.03441E-13
       46.400    3.00005E-13
       46.448    2.96611E-13
       46.496    2.93259E-13
       46.544    2.89949E-13
       46.592    2.86679E-13
       46.640    2.83449E-13
       46.688    2.80258E-13
       46.736    2.77107E-13
       46.784    2.73994E-13
       46.832    2.70920E-13
       46.880    2.67883E-13
       46.928    2.64883E-13
       46.976    2.61919E-13
       47.024    2.58992E-13
       47.072    2.56100E-13
       47.120    2.53243E-13
       47.168    2.50421E-13
       47.216    2.47633E-13
       47.264    2.44879E-13
       47.312    2.42158E-13
       47.360    2.39471E-13
       47.408    2.36815E-13
       47.456    2.34192E-13
       47.504    2.31600E-13
       47.552    2.29039E-13
       47.600    2.26510E-13
       47.648    2.24011E-13
       47.696    2.21541E-13
       47.744    2.19101E-13
       47.792    2.16691E-13
       47.840    2.14309E-13
       47.888    2.11956E-13
       47.936    2.09631E-13
       47.984    2.07334E-13
       48.032    2.05064E-13
       48.080    2.02821E-13
       48.128    2.00605E-13
       48.176    1.98415E-13
       48.224    1.96251E-13
       48.272    1.94113E-13
       48.320    1.92000E-13
       48.368    1.89913E-13
       48.416    1.87850E-13
       48.464    1.85811E-13
       48.512    1.83796E-13
       48.560    1.81805E-13
       48.608    1.79838E-13
       48.656    1.77894E-13
       48.704    1.75972E-13
       48.752    1.74074E-13
       48.800    1.72197E-13
       48.848    1.70343E-13
       48.896    1.68510E-13
       48.944    1.66699E-13
       48.992    1.64908E-13
       49.040    1.63139E-13
       49.088    1.61391E-13
       49.136    1.59663E-13
       49.184    1.57955E-13
       49.232    1.56266E-13
       49.280    1.54598E-13
       49.328    1.52949E-13
       49.376    1.51319E-13
       49.424    1.49708E-13
       49.472    1.48115E-13
       49.520    1.46541E-13
       49.568    1.44985E-13
       49.616    1.43448E-13
       49.664    1.41927E-13
       49.712    1.40425E-13
       49.760    1.38940E-13
       49.808    1.37472E-13
       49.856    1.36020E-13
       49.904    1.34586E-13
       49.952    1.33168E-13
       50.000    1.31766E-13
